//Exported ASCII-File
[Header]
FileName = xxx
GraphName = xxx
SizeX = 1
SizeY = 1
SizeGraph = 1465
PositionUnit = µm
PositionX = 1602.80000004657
PositionY = -929.099999953434
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	90deg (B+R)WT1 (Repaired)
rel. 1/cm	CCD cts
 7.57750E+02	 1.31694E+03
 7.60451E+02	 1.31940E+03
 7.63150E+02	 1.31614E+03
 7.65849E+02	 1.31710E+03
 7.68546E+02	 1.32000E+03
 7.71243E+02	 1.31680E+03
 7.73939E+02	 1.31918E+03
 7.76634E+02	 1.31706E+03
 7.79328E+02	 1.31894E+03
 7.82021E+02	 1.31864E+03
 7.84713E+02	 1.31910E+03
 7.87405E+02	 1.31850E+03
 7.90095E+02	 1.31986E+03
 7.92785E+02	 1.32010E+03
 7.95473E+02	 1.32072E+03
 7.98161E+02	 1.31788E+03
 8.00848E+02	 1.31822E+03
 8.03534E+02	 1.31740E+03
 8.06219E+02	 1.31878E+03
 8.08903E+02	 1.31736E+03
 8.11586E+02	 1.32132E+03
 8.14269E+02	 1.31988E+03
 8.16950E+02	 1.32130E+03
 8.19631E+02	 1.32076E+03
 8.22311E+02	 1.32140E+03
 8.24989E+02	 1.32066E+03
 8.27667E+02	 1.31940E+03
 8.30344E+02	 1.31882E+03
 8.33021E+02	 1.32158E+03
 8.35696E+02	 1.32014E+03
 8.38370E+02	 1.32132E+03
 8.41044E+02	 1.31986E+03
 8.43716E+02	 1.31968E+03
 8.46388E+02	 1.32016E+03
 8.49059E+02	 1.32044E+03
 8.51729E+02	 1.32044E+03
 8.54398E+02	 1.31994E+03
 8.57066E+02	 1.32204E+03
 8.59733E+02	 1.32240E+03
 8.62399E+02	 1.32164E+03
 8.65065E+02	 1.32324E+03
 8.67729E+02	 1.32860E+03
 8.70393E+02	 1.32962E+03
 8.73056E+02	 1.33344E+03
 8.75718E+02	 1.34046E+03
 8.78379E+02	 1.34356E+03
 8.81039E+02	 1.34386E+03
 8.83698E+02	 1.34848E+03
 8.86357E+02	 1.34868E+03
 8.89014E+02	 1.34758E+03
 8.91671E+02	 1.34962E+03
 8.94327E+02	 1.34872E+03
 8.96982E+02	 1.35072E+03
 8.99636E+02	 1.34672E+03
 9.02289E+02	 1.34754E+03
 9.04941E+02	 1.34212E+03
 9.07593E+02	 1.34170E+03
 9.10243E+02	 1.34046E+03
 9.12893E+02	 1.34002E+03
 9.15541E+02	 1.34142E+03
 9.18189E+02	 1.33662E+03
 9.20836E+02	 1.33600E+03
 9.23482E+02	 1.33328E+03
 9.26128E+02	 1.32972E+03
 9.28772E+02	 1.32576E+03
 9.31416E+02	 1.32890E+03
 9.34058E+02	 1.32428E+03
 9.36700E+02	 1.32530E+03
 9.39341E+02	 1.32694E+03
 9.41981E+02	 1.32598E+03
 9.44620E+02	 1.32340E+03
 9.47258E+02	 1.32258E+03
 9.49896E+02	 1.32040E+03
 9.52532E+02	 1.32204E+03
 9.55168E+02	 1.32008E+03
 9.57803E+02	 1.31828E+03
 9.60437E+02	 1.31998E+03
 9.63070E+02	 1.32308E+03
 9.65702E+02	 1.32070E+03
 9.68333E+02	 1.32000E+03
 9.70964E+02	 1.31876E+03
 9.73593E+02	 1.31864E+03
 9.76222E+02	 1.31540E+03
 9.78850E+02	 1.31896E+03
 9.81477E+02	 1.31630E+03
 9.84103E+02	 1.31980E+03
 9.86729E+02	 1.31908E+03
 9.89353E+02	 1.31916E+03
 9.91976E+02	 1.32100E+03
 9.94599E+02	 1.31924E+03
 9.97221E+02	 1.31690E+03
